,Binomial_name_timetree,Binomial_name,Microdraw_name,English_name,Log10Area.cb,Log10Length.cb,Log10ThicknessMedian,Log10ThicknessMean,Log10ThicknessStd,Log10PeriodMedian,Log10PeriodMean,Log10PeriodStd,Log10WidthMedian,Log10WidthMean,Log10WidthStd,Log10Area.ctx,Log10Length.ctx,Order,Provenance,Log10BodyWeight,Log10BrainWeight,Source
Macaca_mulatta,Macaca_mulatta,Macaca_mulatta,Rhesus macaque rm316 Nissl,Rhesus macaque,2.57184001822666,2.63655269986983,-0.758438578336545,-0.78085575401945,-1.23969967907973,0.57521407656635,0.579224211077791,0.349823068426316,0.102291093819335,0.201547415213791,0.103285026593706,3.04718389372502,2.47692022090255,Primates,Brainmaps,8.8236479491913,4.4884116253779,Smaers 2021
Macaca_nemestrina,Macaca_nemestrina,Macaca_nemestrina,Pig-tailed macaque,Pig-tailed macaque,2.45198251548603,2.60820213448433,-0.561323191043764,-0.527506839252175,-0.858440490956401,0.445246562480139,0.499342181712551,0.355654256124865,0.024929982508232,0.126195739253296,0.0524646170019363,3.07462938712226,2.62027306990489,Primates,Brainmuseum,9.08489052125877,4.65956366981842,Smaers 2021
Macropus_fuliginosus,Macropus_fuliginosus,Macropus_fuliginosus,Gray kangaroo,Grey kangaroo,2.25790168395698,2.47747941573566,-0.632739149544647,-0.604086788489511,-0.975584120575016,0.363647435572581,0.466337911467909,0.413543345811544,-0.0226601952970981,0.151793913358657,0.336029272650665,2.59262899293733,2.16654813057556,Diprotodontia,Brainmuseum,10.5050675395706,4.06044301054642,Smaers 2021
Mandrillus_sphinx,Mandrillus_sphinx,Mandrillus_sphinx,Mandrill cell stained,Mandrill,2.47102588401543,2.65561317507565,-0.541380278426693,-0.468402306887211,-0.684426365422142,0.349048433660803,0.410958136052784,0.329327362298246,-0.0139594369815345,0.0399900923728568,-0.154782542033736,3.05210551338418,2.59898709723816,Primates,Brainmuseum,10.0690019910137,5.03617307788409,Smaers 2021
Mustela_erminea,Mustela_erminea,Mustela_erminea,Weasel,Weasel,1.3865955015868,1.71313329953447,-0.658862361259036,-0.601263357745241,-0.854856446108047,0.376721482787631,0.527955979274007,0.537444964288575,-0.0832516183083501,0.116569922691795,0.216561272921226,1.80864504805717,1.70316534926552,Carnivora,Brainmuseum,4.78749174278205,1.38629436111989,Smaers 2021
Myrmecophaga_tridactyla,Myrmecophaga_tridactyla,Myrmecophaga_tridactyla,Giant anteater,Giant anteater,2.39566859177545,2.50772309757941,-0.608167220082556,-0.572079164904272,-0.931216930156806,0.487208745774646,0.609814704445739,0.632136901204705,0.0317871314664527,0.263779094237565,0.40681550064603,2.6575176851601,2.09407129303109,Pilosa,Brainmuseum,10.244332358385,4.22390976657674,Smaers 2021
Nasua_narica,Nasua_narica,Nasua_narica,White-nosed Coati,White-nosed coati,2.2361638562821,2.39155356706167,-0.736113130736549,-0.678517562567255,-1.00130527728985,0.259610091804075,0.379055664901125,0.28599590019714,-0.107317452278335,0.0127621500559031,0.00414758372078221,2.51573026466898,2.18954488845721,Carnivora,Brainmuseum,8.21608809863232,3.63758615972639,Smaers 2021
Neogale_vison,Neogale_vison,Neovison_vison,American mink Cell stain,American mink,1.65513076372353,1.98205647184921,-0.858233636297696,-0.821011548369618,-1.19796828652426,0.317638866506838,0.354084004309595,0.18569359006137,-0.164302273864793,-0.0372686086452442,-0.0190341564059393,2.16797755428236,2.0119855160375,Carnivora,Brainmuseum,6.46925031679577,1.94591014905531,Smaers 2021
Odocoileus_virginianus,Odocoileus_virginianus,Odocoileus_virginianus,White-tailed deer,White-tailed deer,2.54903231356638,2.58073744511175,-0.479014992831765,-0.37669384142909,-0.578726855094828,0.574242494975428,0.677013288485551,0.564030364724965,0.137021755887568,0.348316360291123,0.427044533632447,3.00650030056893,2.58263809750945,Artiodactyla,Brainmuseum,10.5966347330961,5.07517381523383,Smaers 2021
Oryctolagus_cuniculus,Oryctolagus_cuniculus,Oryctolagus_cuniculus,European rabbit,European rabbit,1.887439457073,2.21814734497681,-0.737605870658124,-0.741568660945832,-1.2008449269972,0.42829367914455,0.496707047521649,0.392736701103061,-0.0222652332099049,0.152044239426792,0.0521113498623908,2.14746367076962,1.76865920292358,Lagomorpha,Brainmuseum,8.43598313599069,2.30757263450508,Smaers 2021
Ovis_aries,Ovis_aries,Ovis_aries_domestica,Sheep,Sheep,2.64042571726603,2.60761481167685,NA,-0.327910458421221,-0.547505152984285,0.607271959081678,0.734312378272002,0.773330912392315,0.211783573571871,0.408340929479755,0.581876548396744,2.96838118271545,2.50044122540603,Artiodactyla,Brainmuseum,10.9241382997345,5.16478597392351,Burger et al 2019
Pan_troglodytes,Pan_troglodytes,Pan_troglodytes,Chimpanzee,Chimpanzee,2.97096956304214,2.97916024984089,NA,0.0948413265288626,-0.0999798992580518,0.49288094206221,0.578236807835381,0.531256700296848,0.115908513180026,0.23339944265791,0.250978356740994,3.37900210187662,2.85376212969573,Primates,Brainmuseum,10.7136841663987,5.90903357312882,Smaers 2021
Panthera_leo,Panthera_leo,Panthera_leo,Lion,Lion,2.80502602094101,2.71789222489645,-0.469331670421525,-0.427653584489184,-0.701651347195943,0.507633696995636,0.681817956320472,0.754291939350352,0.183456584501933,0.353874353436805,0.561204262053311,3.27455494552701,2.71601365603315,Carnivora,Brainmuseum,11.9922604216448,5.40999290043863,Smaers 2021
Pecari_tajacu,Pecari_tajacu,Pecari_tajacu,Collared peccary,Collared peccary,2.33953485161335,2.42357933272782,-0.633588250518177,-0.586366678323511,-0.888828253960261,0.551835969178165,0.576110619270837,0.336452695934971,0.207964507771318,0.252680448915305,0.0339872759895406,2.54178776519092,2.23131180040275,Artiodactyla,Brainmuseum,9.0395520509959,4.18965474202643,Smaers 2021
Perodicticus_potto,Perodicticus_potto,Perodicticus_potto,Potto,Potto,1.82293166735946,2.16546192748198,-0.740112390867076,-0.707628722940243,-1.12298187799654,0.443255245906816,0.467883821507636,0.279285224320576,-0.123689522724039,0.117933941369328,0.125385660854579,2.26910838490752,2.02923796946117,Primates,Brainmuseum,6.72743172485086,2.51930807650533,Smaers 2021
Phoca_vitulina,Phoca_vitulina,Phoca_vitulina,Harbor seal,Harbor seal,2.69799075819026,2.78265195850729,NA,-0.230354646279444,-0.412136441508762,0.323787493139082,0.436856573420617,0.404367089943253,-0.0270405250277913,0.139375158729202,0.262555059065365,3.13284187077813,2.71860343511651,Pinnipedia,Brainmuseum,12.3444858526838,5.14312447714233,Smaers 2021
Procavia_capensis,Procavia_capensis,Procavia_capensis,Rock hyrax,Rock hyrax,1.78416384001842,2.06954154968326,-0.752247617502531,-0.753930016335348,-1.23483531043676,0.581034907864575,0.775481216035264,0.824850580455206,-0.0424556273622413,0.325665659813071,0.433573053925774,2.32852472163678,1.98571645837662,Hyrocoidea,Brainmuseum,8.03592636989179,2.99922616280825,Smaers 2021
Pteropus_giganteus,Pteropus_giganteus,Pteropus_giganteus,Indian flying fox,Indian flying fox,1.90467762855977,2.10535316493916,-0.739520757672523,-0.705311172304117,-1.07556046816095,0.524433319084888,0.526146514529008,0.36138719074402,0.0764781064945697,0.193855753416709,0.148784910539721,2.25006305737529,1.87389390641594,Chiroptera,Brainmuseum,6.3578422665081,2.0515563381903,Smaers 2021
Saimiri_sciureus,Saimiri_sciureus,Saimiri_sciureus,Squirrel Monkey,Squirrel monkey,1.82768350950217,2.18167024585282,-0.783651969833894,-0.770671469528674,-1.19376370710234,0.508691852562384,0.547465628782725,0.276793851042744,-0.0456483886903073,0.113467213497211,-0.0171801692682419,2.46738118005961,2.19980968253637,Primates,Brainmuseum,6.68336094576627,3.18387021566939,Smaers 2021
