URL,Name,ncbi tx id,Gene bank common name,1st Cb slice,Last Cb slice,Cb slices,Mid Cb slice,Status,Review,Cb 25% slice,Status.1,Review.1,Cb 75% slice,Status.2,Scale bar (mm),Comment,1st Ctx slice,Last Ctx slice,Cortex slices,Mid Ctx slice,Status.3,Review.2,Ctx 25% slice,Status.4,Ctx 75% slice,Status.5,Unnamed: 27,Dentate_there,Unnamed: 29
https://microdraw.pasteur.fr/mouselemur_sag_fiber/mouselemur_sag_fiber.json,Mouselemur fiber stained,,,,,1,,,,,,,,,,Sagittal orientation,,,,,,,,,,,,,
https://microdraw.pasteur.fr/llama_cor_cell/llama_cor_cell.json,Llama,,,46.0,71.0,26,59.0,Done (KH),,52.0,Done (KH),,65.0,Done (KH),10.0,,0.0,52.0,53.0,26.0,Done (RT),,13.0,Done (KH),39.0,Done (KH),,unclear,
https://microdraw.pasteur.fr//mongooselemur_cor_cell/mongooselemur_cor_cell.json,Mongoose lemur,,,44.0,60.0,17,52.0,Done (KH),,48.0,Done (SLV),x KH x,56.0,Done (SLV),10.0,,1.0,53.0,53.0,27.0,"Done (KH), i started on 34 🙉",,14.0,Done (KH),40.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/chimp_cor_cell/chimp_cor_cell.json,Chimpanzee,,,24.0,40.0,17,32.0,Done (RT),xKH,28.0,Done (KH),,36.0,Done (KH),10.0,,0.0,40.0,41.0,20.0,Done (RT),x KH,10.0,Done (KH),30.0,Done (KH),,33,
https://microdraw.pasteur.fr/human_cor_cell/human_cor_cell.json,Human cell stained coronal,,,11.0,18.0,8,14.0,Done (RT),,13.0,,,16.0,,,find solution for missing scalebar,,,,,,,,,,,,,
https://microdraw.pasteur.fr/human_cor_fiber/human_cor_fiber.json,Human fiber stained coronal,,,11.0,18.0,8,14.0,,,13.0,,,16.0,,,,,,,,,,,,,,,,
https://microdraw.pasteur.fr/human_axi_cell/human_axi_cell.json,Human cell stained axial,,,,,1,,,,,,,,,,Axial orientation,,,,,,,,,,,,,
https://microdraw.pasteur.fr/human_axi_fiber/human_axi_fiber.json,Human fiber stained axial,,,,,1,,,,,,,,,,Axial orientation,,,,,,,,,,,,,
https://microdraw.pasteur.fr/human_sag_cell/human_sag_cell.json,Human cell stained sagittal,,,,,1,,,,,,,,,,Sagittal orientation,,,,,,,,,,,,,
https://microdraw.pasteur.fr/human_sag_fiber/human_sag_fiber.json,Human fiber stained sagittal,,,,,1,,,,,,,,,,Sagittal orientation,,,,,,,,,,,,,
https://microdraw.pasteur.fr//owlmonkey_cor_cell/owlmonkey_cor_cell.json,Night Monkey cell stained coronal,,,13.0,20.0,8,17.0,Done (KH),,15.0,Done (KH),,18.0,Done (KH),5.0,,2.0,20.0,19.0,10.0,Done (RT),x KH,7.0,Done (KH),16.0,Done (KH),,unclear,
https://microdraw.pasteur.fr//owlmonkey_cor_fiber/owlmonkey_cor_fiber.json,Night Monkey fiber stained coronal,,,10.0,17.0,8,14.0,Done (KH),,12.0,Done (KH),,15.0,Done (KH),5.0,! slice 11 is on position 0 !,0.0,17.0,18.0,9.0,Done (RT),x KH,4.0,Done (KH),13.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/squirrelmonkey_cor_cell/squirrelmonkey_cor_cell.json,Squirrel Monkey,,,38.0,57.0,20,48.0,Done (KH),,43.0,Done (KH),,52.0,Done (KH),10.0,,0.0,64.0,65.0,32.0,Done (RT),x KH,16.0,Done (KH),48.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/pig_cor_cell/pig_cor_cell.json,Pig,,,45.0,94.0,50,70.0,Done (KH),,57.0,Done (RT),x KH x,82.0,Done (RT),10.0,Flying bit in slice 44,3.0,85.0,83.0,44.0,Done (RT),x KH,24.0,Done (KH),65.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/zebu_cor_cell/zebu_cor_cell.json,Zebu cell stained,,,34.0,51.0,18,43.0,Done (KH),,38.0,Done (RT),,47.0,Done (RT),10.0,,0.0,40.0,41.0,20.0,Done (KH),,10.0,Done (KH),30.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/zebu_cor_fiber/zebu_cor_fiber.json,Zebu fiber stained,,,,,1,,,,,,,,,,"Only 3 slices, no Cb",,,,,,,,,,,,,
https://microdraw.pasteur.fr/cat_cor_cell/cat_cor_cell.json,Cat,,,58.0,91.0,34,75.0,Done (KH),,66.0,Done (SLV),x KH x,83.0,Done (SLV),10.0,"! slices 0,1,2,5,6,7,8 seem to be upside-down!",6.0,70.0,65.0,38.0,Done (RT),,22.0,Done (KH),54.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/lion_cor_cell/lion_cor_cell.json,Lion,,,59.0,95.0,37,77.0,Done (RT),,68.0,Done (RT),,86.0,Done (RT),10.0,,7.0,85.0,79.0,46.0,Done (RT),,27.0,Done (KH),66.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/polarbear_cor_cell/polarbear_cor_cell.json,Polar bear,,,34.0,53.0,20,44.0,Done (RT),,39.0,Done (RT),,48.0,Done (RT),10.0,,5.0,42.0,38.0,24.0,Done (RT),,14.0,Done (KH),33.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/spottedhyena_cor_cell/spottedhyena_cor_cell.json,Spotted hyena cell stained,,,71.0,101.0,31,86.0,Done (RT),,79.0,Done (RT),,94.0,Done (RT),10.0,slice sequence wrong: slice 9 should be betweeen 102 and 103,7.0,94.0,88.0,51.0,Done (RT),,29.0,Done (KH),72.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/spottedhyena_cor_fiber/spottedhyena_cor_fiber.json,Spotted hyena fiber stained,,,30.0,46.0,17,38.0,Done (RT),,34.0,Done (RT),,42.0,Done (RT),10.0,,2.0,41.0,40.0,22.0,Done (RT),,12.0,Done (KH),31.0,Done (KH),,,
https://microdraw.pasteur.fr/weasel_cor_cell/weasel_cor_cell.json,Weasel,,,30.0,45.0,16,38.0,Done (RT),,34.0,Done (RT),,41.0,Done (RT),5.0,,1.0,36.0,36.0,19.0,Done (RT),,10.0,Done (KH),27.0,Done (KH),,,
https://microdraw.pasteur.fr/yellowmongoose_cor_cell/yellowmongoose_cor_cell.json,Yellow mongoose,,,50.0,69.0,20,60.0,Done (RT),,55.0,Done (RT),,64.0,Done (RT),10.0,,3.0,61.0,59.0,32.0,Done (RT),,18.0,Done (KH),47.0,Done (KH),,,
https://microdraw.pasteur.fr/dolphin_cor_cell/dolphin_cor_cell.json,Bottlenose dolphin,,,27.0,53.0,27,40.0,,,34.0,,,47.0,,,Flying bits in slice 26; Incomplete?,,,,,,,,,,,,,
https://microdraw.pasteur.fr/flyingfox_cor_cell/flyingfox_cor_cell.json,Indian flying fox,,,46.0,68.0,23,57.0,Done (RT),,52.0,Done (RT),,63.0,Done (RT),5.0,,6.0,53.0,48.0,30.0,Done (RT),,18.0,Done (KH),41.0,Done (KH),,,
https://microdraw.pasteur.fr/9bandarmadillo_cor_cell/9bandarmadillo_cor_cell.json,Nine-banded armadillo,,,39.0,62.0,24,51.0,Done (RT),,45.0,Done (RT),,56.0,Done (RT),5.0,,6.0,45.0,40.0,27.0,Done (RT),,16.0,Done (KH),35.0,Done (KH),,,
https://microdraw.pasteur.fr/flyinglemur_cor_cell/flyinglemur_cor_cell.json,Philippine flying lemur,,,47.0,65.0,19,56.0,Done (RT),,52.0,Done (RT),,61.0,Done (RT),10.0,! slice 0 to 5 are 90° rotated!,7.0,47.0,41.0,27.0,Done (RT),,17.0,Done (KH),37.0,Done (KH),,,
https://microdraw.pasteur.fr/rockhyrax_cor_cell/rockhyrax_cor_cell.json,Rock hyrax,,,43.0,66.0,24,55.0,Done (RT),,49.0,Done (RT),,60.0,Done (RT),10.0,,4.0,49.0,46.0,27.0,Done (RT),,15.0,Done (KH),38.0,Done (KH),,,
https://microdraw.pasteur.fr/zebra_cor_cell/zebra_cor_cell.json,Zebra,,,51.0,79.0,29,65.0,Done (RT),,58.0,Done (RT),,72.0,Done (RT),10.0,,2.0,59.0,58.0,31.0,Done (RT),,16.0,Done (KH),45.0,Done (KH),,,
